harmonized_id	symbol	biotype	n_datasets_hvg	why_unmapped
ENSG00000154639	CXADR	protein_coding	95	no ortholog in the table
ENSG00000167851	CD300A	protein_coding	95	no ortholog in the table
ENSG00000078081	LAMP3	protein_coding	95	no ortholog in the table
ENSG00000006606	CCL26	protein_coding	95	no ortholog in the table
ENSG00000187840	EIF4EBP1	protein_coding	94	no ortholog in the table
ENSG00000172322	CLEC12A	protein_coding	94	no ortholog in the table
ENSG00000158373	H2BC5	protein_coding	94	no ortholog in the table
ENSG00000129824	RPS4Y1	protein_coding	94	no ortholog in the table
ENSG00000163735	CXCL5	protein_coding	94	no ortholog in the table
ENSG00000105609	LILRB5	protein_coding	94	no ortholog in the table
ENSG00000112782	CLIC5	protein_coding	93	no ortholog in the table
ENSG00000121933	TMIGD3	protein_coding	93	no ortholog in the table
ENSG00000187116	LILRA5	protein_coding	93	no ortholog in the table
ENSG00000175820	LRTM3	protein_coding	92	no ortholog in the table
ENSG00000166669	ATF7IP2	protein_coding	92	no ortholog in the table
ENSG00000010030	ETV7	protein_coding	92	no ortholog in the table
ENSG00000142748	FCN3	protein_coding	91	no ortholog in the table
ENSG00000226777	FAM30A	lncRNA	91	no ortholog in the table
ENSG00000181374	CCL13	protein_coding	91	no ortholog in the table
ENSG00000160886	LY6K	protein_coding	91	no ortholog in the table
ENSG00000198157	HMGN5	protein_coding	91	no ortholog in the table
ENSG00000224259	LINC01133	lncRNA	91	no ortholog in the table
ENSG00000277075	H2AC8	protein_coding	91	no ortholog in the table
ENSG00000214900	LINC01588	lncRNA	91	no ortholog in the table
ENSG00000168961	LGALS9	protein_coding	90	no ortholog in the table
ENSG00000204397	CARD16	protein_coding	90	no ortholog in the table
ENSG00000156508	EEF1A1	protein_coding	90	no ortholog in the table
ENSG00000169756	LIMS1	protein_coding	90	no ortholog in the table
ENSG00000187514	PTMA	protein_coding	90	no ortholog in the table
ENSG00000204475	NCR3	protein_coding	89	no ortholog in the table
ENSG00000102007	PLP2	protein_coding	89	no ortholog in the table
ENSG00000206503	HLA-A	protein_coding	89	no ortholog in the table
ENSG00000011201	ANOS1	protein_coding	89	no ortholog in the table
ENSG00000079385	CEACAM1	protein_coding	89	no ortholog in the table
ENSG00000251230	MIR3945HG	lncRNA	89	no ortholog in the table
ENSG00000139572	GPR84	protein_coding	89	no ortholog in the table
ENSG00000163565	IFI16	protein_coding	89	no ortholog in the table
ENSG00000092758	COL9A3	protein_coding	89	no ortholog in the table
ENSG00000254709	IGLL5	protein_coding	88	no ortholog in the table
ENSG00000158164	TMSB15A	protein_coding	88	no ortholog in the table
ENSG00000275713	H2BC9	protein_coding	88	no ortholog in the table
ENSG00000167613	LAIR1	protein_coding	88	no ortholog in the table
ENSG00000124102	PI3	protein_coding	88	no ortholog in the table
ENSG00000249669	CARMN	lncRNA	87	no ortholog in the table
ENSG00000229989	MIR181A1HG	lncRNA	87	no ortholog in the table
ENSG00000166670	MMP10	protein_coding	87	no ortholog in the table
ENSG00000104972	LILRB1	protein_coding	87	no ortholog in the table
ENSG00000204866	IGFL2	protein_coding	87	no ortholog in the table
ENSG00000189013	KIR2DL4	protein_coding	87	no ortholog in the table
ENSG00000185567	AHNAK2	protein_coding	86	no ortholog in the table
ENSG00000240403	KIR3DL2	protein_coding	86	no ortholog in the table
ENSG00000184678	H2BC21	protein_coding	86	no ortholog in the table
ENSG00000223749	MIR503HG	lncRNA	86	no ortholog in the table
ENSG00000225783	MIAT	lncRNA	86	no ortholog in the table
ENSG00000231106	LINC01436	lncRNA	86	no ortholog in the table
ENSG00000240505	TNFRSF13B	protein_coding	86	no ortholog in the table
ENSG00000161249	DMKN	protein_coding	86	no ortholog in the table
ENSG00000185291	IL3RA	protein_coding	85	no ortholog in the table
ENSG00000233822	H2BC15	protein_coding	85	no ortholog in the table
ENSG00000204525	HLA-C	protein_coding	85	no ortholog in the table
ENSG00000211893	IGHG2	IG_C_gene	85	no ortholog in the table
ENSG00000087237	CETP	protein_coding	84	no ortholog in the table
ENSG00000211898	IGHD	IG_C_gene	84	no ortholog in the table
ENSG00000213316	LTC4S	protein_coding	84	no ortholog in the table
ENSG00000245694	CRNDE	lncRNA	84	no ortholog in the table
ENSG00000118777	ABCG2	protein_coding	84	no ortholog in the table
ENSG00000184515	BEX5	protein_coding	84	no ortholog in the table
ENSG00000089157	RPLP0	protein_coding	84	no ortholog in the table
ENSG00000186854	TRABD2A	protein_coding	84	no ortholog in the table
ENSG00000175489	LRRC25	protein_coding	83	no ortholog in the table
ENSG00000166801	FAM111A	protein_coding	83	no ortholog in the table
ENSG00000121797	CCRL2	protein_coding	83	no ortholog in the table
ENSG00000198223	CSF2RA	protein_coding	83	no ortholog in the table
ENSG00000184905	TCEAL2	protein_coding	83	no ortholog in the table
ENSG00000069493	CLEC2D	protein_coding	83	no ortholog in the table
ENSG00000100290	BIK	protein_coding	83	no ortholog in the table
ENSG00000134827	TCN1	protein_coding	82	no ortholog in the table
ENSG00000100342	APOL1	protein_coding	82	no ortholog in the table
ENSG00000121594	CD80	protein_coding	82	no ortholog in the table
ENSG00000155368	DBI	protein_coding	82	no ortholog in the table
ENSG00000271614	ATP2B1-AS1	lncRNA	82	no ortholog in the table
ENSG00000239961	LILRA4	protein_coding	82	no ortholog in the table
ENSG00000026103	FAS	protein_coding	82	no ortholog in the table
ENSG00000167664	TMIGD2	protein_coding	82	no ortholog in the table
ENSG00000143297	FCRL5	protein_coding	81	no ortholog in the table
ENSG00000108387	SEPTIN4	protein_coding	81	no ortholog in the table
ENSG00000128284	APOL3	protein_coding	81	no ortholog in the table
ENSG00000105519	CAPS	protein_coding	81	no ortholog in the table
ENSG00000129534	MIS18BP1	protein_coding	81	no ortholog in the table
ENSG00000187094	CCK	protein_coding	81	no ortholog in the table
ENSG00000007038	PRSS21	protein_coding	80	no ortholog in the table
ENSG00000163736	PPBP	protein_coding	80	no ortholog in the table
ENSG00000152804	HHEX	protein_coding	80	no ortholog in the table
ENSG00000156313	RPGR	protein_coding	80	no ortholog in the table
ENSG00000204936	CD177	protein_coding	79	no ortholog in the table
ENSG00000242258	LINC00996	lncRNA	79	no ortholog in the table
ENSG00000267270	PARD6G-AS1	lncRNA	78	no ortholog in the table
ENSG00000173530	TNFRSF10D	protein_coding	78	no ortholog in the table
ENSG00000228495	LINC01013	lncRNA	78	no ortholog in the table
ENSG00000086548	CEACAM6	protein_coding	78	no ortholog in the table
ENSG00000145349	CAMK2D	protein_coding	78	no ortholog in the table
ENSG00000232679	LINC01705	lncRNA	78	no ortholog in the table
ENSG00000123500	COL10A1	protein_coding	78	no ortholog in the table
ENSG00000196787	H2AC11	protein_coding	78	no ortholog in the table
ENSG00000251442	LINC01094	lncRNA	77	no ortholog in the table
ENSG00000152931	PART1	lncRNA	77	no ortholog in the table
ENSG00000177494	ZBED2	protein_coding	77	no ortholog in the table
ENSG00000152207	CYSLTR2	protein_coding	77	no ortholog in the table
ENSG00000179914	ITLN1	protein_coding	77	no ortholog in the table
ENSG00000198535	C2CD4A	protein_coding	77	no ortholog in the table
ENSG00000164543	STK17A	protein_coding	77	no ortholog in the table
ENSG00000162078	ZG16B	protein_coding	77	no ortholog in the table
ENSG00000124780	KCNK17	protein_coding	77	no ortholog in the table
ENSG00000172927	MYEOV	protein_coding	76	no ortholog in the table
ENSG00000276409	CCL14	protein_coding	76	no ortholog in the table
ENSG00000235947	EGOT	lncRNA	76	no ortholog in the table
ENSG00000211689	TRGC1	TR_C_gene	76	no ortholog in the table
ENSG00000197279	ZNF165	protein_coding	76	no ortholog in the table
ENSG00000198692	EIF1AY	protein_coding	76	no ortholog in the table
ENSG00000273983	H3C8	protein_coding	76	no ortholog in the table
ENSG00000089012	SIRPG	protein_coding	76	no ortholog in the table
ENSG00000163923	RPL39L	protein_coding	76	no ortholog in the table
ENSG00000134668	SPOCD1	protein_coding	76	no ortholog in the table
ENSG00000231672	DIRC3	lncRNA	75	no ortholog in the table
ENSG00000185499	MUC1	protein_coding	75	no ortholog in the table
ENSG00000136943	CTSV	protein_coding	75	no ortholog in the table
ENSG00000211890	IGHA2	IG_C_gene	75	no ortholog in the table
ENSG00000121895	TMEM156	protein_coding	75	no ortholog in the table
ENSG00000089327	FXYD5	protein_coding	75	no ortholog in the table
ENSG00000197989	SNHG12	lncRNA	75	no ortholog in the table
ENSG00000224137	LINC01857	lncRNA	74	no ortholog in the table
ENSG00000274997	H2AC12	protein_coding	74	no ortholog in the table
ENSG00000286522	H3C2	protein_coding	74	no ortholog in the table
ENSG00000253522	MIR3142HG	lncRNA	74	no ortholog in the table
ENSG00000225746	MEG8	lncRNA	74	no ortholog in the table
ENSG00000100336	APOL4	protein_coding	74	no ortholog in the table
ENSG00000236824	BCYRN1	lncRNA	74	no ortholog in the table
ENSG00000243772	KIR2DL3	protein_coding	74	no ortholog in the table
ENSG00000253490	LINC02099	lncRNA	74	no ortholog in the table
ENSG00000112303	VNN2	protein_coding	74	no ortholog in the table
ENSG00000145428	RNF175	protein_coding	73	no ortholog in the table
ENSG00000158485	CD1B	protein_coding	73	no ortholog in the table
ENSG00000139194	RBP5	protein_coding	73	no ortholog in the table
ENSG00000276903	H2AC16	protein_coding	73	no ortholog in the table
ENSG00000167633	KIR3DL1	protein_coding	73	no ortholog in the table
ENSG00000278828	H3C10	protein_coding	73	no ortholog in the table
ENSG00000090659	CD209	protein_coding	73	no ortholog in the table
ENSG00000204186	ZDBF2	protein_coding	72	no ortholog in the table
ENSG00000118495	PLAGL1	protein_coding	72	no ortholog in the table
ENSG00000249307	LINC01088	lncRNA	72	no ortholog in the table
ENSG00000228013	IL6R-AS1	lncRNA	72	no ortholog in the table
ENSG00000171049	FPR2	protein_coding	72	no ortholog in the table
ENSG00000276368	H2AC14	protein_coding	72	no ortholog in the table
ENSG00000270547	LINC01235	lncRNA	72	no ortholog in the table
ENSG00000239713	APOBEC3G	protein_coding	72	no ortholog in the table
ENSG00000171611	PTCRA	protein_coding	72	no ortholog in the table
ENSG00000197261	C6orf141	protein_coding	72	no ortholog in the table
ENSG00000221963	APOL6	protein_coding	72	no ortholog in the table
ENSG00000277494	GPIHBP1	protein_coding	71	no ortholog in the table
ENSG00000205413	SAMD9	protein_coding	71	no ortholog in the table
ENSG00000170290	SLN	protein_coding	71	no ortholog in the table
ENSG00000226419	SLC16A1-AS1	lncRNA	71	no ortholog in the table
ENSG00000156689	GLYATL2	protein_coding	71	no ortholog in the table
ENSG00000087258	GNAO1	protein_coding	71	no ortholog in the table
ENSG00000178977	LINC00324	lncRNA	71	no ortholog in the table
ENSG00000146938	NLGN4X	protein_coding	71	no ortholog in the table
ENSG00000196684	HSH2D	protein_coding	71	no ortholog in the table
ENSG00000160856	FCRL3	protein_coding	70	no ortholog in the table
ENSG00000243955	GSTA1	protein_coding	70	no ortholog in the table
ENSG00000154760	SLFN13	protein_coding	70	no ortholog in the table
ENSG00000132475	H3-3B	protein_coding	70	no ortholog in the table
ENSG00000236790	LINC00299	lncRNA	70	no ortholog in the table
ENSG00000163564	PYHIN1	protein_coding	70	no ortholog in the table
ENSG00000145284	SCD5	protein_coding	70	no ortholog in the table
ENSG00000179750	APOBEC3B	protein_coding	69	no ortholog in the table
ENSG00000163618	CADPS	protein_coding	69	no ortholog in the table
ENSG00000120337	TNFSF18	protein_coding	69	no ortholog in the table
ENSG00000179083	FAM133A	protein_coding	69	no ortholog in the table
ENSG00000235385	LINC02154	lncRNA	69	no ortholog in the table
ENSG00000053438	NNAT	protein_coding	69	no ortholog in the table
ENSG00000141574	SECTM1	protein_coding	69	no ortholog in the table
ENSG00000124939	SCGB2A1	protein_coding	69	no ortholog in the table
ENSG00000181617	FDCSP	protein_coding	68	no ortholog in the table
ENSG00000214894	LINC00243	lncRNA	68	no ortholog in the table
ENSG00000227036	LINC00511	lncRNA	68	no ortholog in the table
ENSG00000203710	CR1	protein_coding	68	no ortholog in the table
ENSG00000115756	HPCAL1	protein_coding	68	no ortholog in the table
ENSG00000174501	ANKRD36C	protein_coding	68	no ortholog in the table
ENSG00000220161	LINC02076	lncRNA	68	no ortholog in the table
ENSG00000235831	BHLHE40-AS1	lncRNA	68	no ortholog in the table
ENSG00000132274	TRIM22	protein_coding	67	no ortholog in the table
ENSG00000093072	ADA2	protein_coding	67	no ortholog in the table
ENSG00000159958	TNFRSF13C	protein_coding	67	no ortholog in the table
ENSG00000229314	ORM1	protein_coding	67	no ortholog in the table
ENSG00000171401	KRT13	protein_coding	67	no ortholog in the table
ENSG00000224420	ADM5	protein_coding	66	no ortholog in the table
ENSG00000174255	ZNF80	protein_coding	66	no ortholog in the table
ENSG00000125498	KIR2DL1	protein_coding	66	no ortholog in the table
ENSG00000169436	COL22A1	protein_coding	66	no ortholog in the table
ENSG00000267206	LCN6	protein_coding	66	ortholog(s) exist but none is in the other vocabulary
ENSG00000277768			66	no ortholog in the table
ENSG00000239569	KMT2E-AS1	lncRNA	66	no ortholog in the table
ENSG00000205277	MUC12	protein_coding	65	no ortholog in the table
ENSG00000117226	GBP3	protein_coding	65	no ortholog in the table
ENSG00000215386	MIR99AHG	lncRNA	65	no ortholog in the table
ENSG00000240563	L1TD1	protein_coding	65	no ortholog in the table
ENSG00000225383	SFTA1P	lncRNA	65	no ortholog in the table
ENSG00000147174	GCNA	protein_coding	65	no ortholog in the table
ENSG00000110203	FOLR3	protein_coding	65	no ortholog in the table
ENSG00000278677	H2AC17	protein_coding	65	no ortholog in the table
ENSG00000187634	SAMD11	protein_coding	65	no ortholog in the table
ENSG00000158477	CD1A	protein_coding	65	no ortholog in the table
ENSG00000232956	SNHG15	lncRNA	65	no ortholog in the table
ENSG00000181036	FCRL6	protein_coding	64	no ortholog in the table
ENSG00000047634	SCML1	protein_coding	64	no ortholog in the table
ENSG00000204592	HLA-E	protein_coding	64	no ortholog in the table
ENSG00000249859	PVT1	lncRNA	64	no ortholog in the table
ENSG00000079263	SP140	protein_coding	64	no ortholog in the table
ENSG00000247982	LINC00926	lncRNA	64	no ortholog in the table
ENSG00000105352	CEACAM4	protein_coding	64	no ortholog in the table
ENSG00000119862	LGALSL	protein_coding	64	no ortholog in the table
ENSG00000124256	ZBP1	protein_coding	64	no ortholog in the table
ENSG00000229619	MBNL1-AS1	lncRNA	64	no ortholog in the table
ENSG00000115718	PROC	protein_coding	64	no ortholog in the table
ENSG00000120693	SMAD9	protein_coding	64	no ortholog in the table
ENSG00000145113	MUC4	protein_coding	64	no ortholog in the table
ENSG00000170369	CST2	protein_coding	64	no ortholog in the table
ENSG00000245750	DRAIC	lncRNA	64	no ortholog in the table
ENSG00000211891	IGHE	IG_C_gene	64	no ortholog in the table
ENSG00000267100	ILF3-DT	lncRNA	64	no ortholog in the table
