harmonized_id	symbol	biotype	n_datasets_hvg	why_unmapped
ENSMUSG00000030469	Zfp719	protein_coding	30	no ortholog in the table
ENSMUSG00000055850	Rnf181	protein_coding	30	no ortholog in the table
ENSMUSG00000041995	Zbed3	protein_coding	30	no ortholog in the table
ENSMUSG00000040189	Odad1	protein_coding	30	no ortholog in the table
ENSMUSG00000100417	Gm28578	lncRNA	30	no ortholog in the table
ENSMUSG00000055313	Pgbd1	protein_coding	30	no ortholog in the table
ENSMUSG00000040511	Pvr	protein_coding	30	no ortholog in the table
ENSMUSG00000042097	Zfp239	protein_coding	30	no ortholog in the table
ENSMUSG00000060981	H4c8	protein_coding	30	no ortholog in the table
ENSMUSG00000000159	Igsf5	protein_coding	30	no ortholog in the table
ENSMUSG00000047182	Irs3	protein_coding	30	no ortholog in the table
ENSMUSG00000067424	Zfp563	protein_coding	30	no ortholog in the table
ENSMUSG00000097039	Pvt1	lncRNA	30	no ortholog in the table
ENSMUSG00000040364	Sec1	protein_coding	30	no ortholog in the table
ENSMUSG00000060424	Pantr1	lncRNA	30	no ortholog in the table
ENSMUSG00000085156	Snhg15	lncRNA	30	no ortholog in the table
ENSMUSG00000068855	H2ac20	protein_coding	30	no ortholog in the table
ENSMUSG00000078435	AU041133	protein_coding	30	no ortholog in the table
MGI:1338008	Gdap10	lncRNA	30	no Ensembl id (MGI/HGNC accession): not in the ortholog table
ENSMUSG00000062421	Arf2	protein_coding	29	no ortholog in the table
ENSMUSG00000029375	Cxcl15	protein_coding	29	no ortholog in the table
ENSMUSG00000074578	Zfas1	lncRNA	29	no ortholog in the table
ENSMUSG00000067297	Ifit1bl2	protein_coding	29	no ortholog in the table
ENSMUSG00000096995	2810029C07Rik	lncRNA	29	no ortholog in the table
ENSMUSG00000098176	Ccdc166	protein_coding	29	no ortholog in the table
ENSMUSG00000034771	Tle2	protein_coding	29	no ortholog in the table
ENSMUSG00000053819	Camk2d	protein_coding	29	no ortholog in the table
ENSMUSG00000021514	Zfp369	protein_coding	29	no ortholog in the table
ENSMUSG00000034639	Setmar	protein_coding	29	no ortholog in the table
ENSMUSG00000032479	Map4	protein_coding	29	no ortholog in the table
ENSMUSG00000053332	Gas5	lncRNA	29	no ortholog in the table
ENSMUSG00000053338	Tarm1	protein_coding	29	no ortholog in the table
ENSMUSG00000097915	A330009N23Rik	lncRNA	29	no ortholog in the table
ENSMUSG00000013766	Ly6g6e	protein_coding	29	no ortholog in the table
ENSMUSG00000053297	AI854703	protein_coding	29	ortholog(s) exist but none is in the other vocabulary
ENSMUSG00000031351	Zfp185	protein_coding	29	no ortholog in the table
ENSMUSG00000091144	Phf11c	protein_coding	29	no ortholog in the table
ENSMUSG00000025202	Scd3	protein_coding	29	no ortholog in the table
ENSMUSG00000028457	Atp8b5	protein_coding	29	no ortholog in the table
ENSMUSG00000030365	Clec2i	protein_coding	29	no ortholog in the table
ENSMUSG00000052914	Cyp2j6	protein_coding	29	no ortholog in the table
ENSMUSG00000079022	Col22a1	protein_coding	29	no ortholog in the table
ENSMUSG00000031245	Hmgn5	protein_coding	29	no ortholog in the table
ENSMUSG00000078700	D030028A08Rik	lncRNA	29	no ortholog in the table
ENSMUSG00000074183	Gsta1	protein_coding	29	no ortholog in the table
ENSMUSG00000030486	Zfp108	protein_coding	29	no ortholog in the table
ENSMUSG00000033972	Zfp944	protein_coding	29	no ortholog in the table
ENSMUSG00000092203	1110038B12Rik	lncRNA	29	no ortholog in the table
ENSMUSG00000032680	6820408C15Rik	protein_coding	29	no ortholog in the table
ENSMUSG00000021706	Zfyve16	protein_coding	29	no ortholog in the table
ENSMUSG00000104835	Gm5547	lncRNA	29	no ortholog in the table
ENSMUSG00000035486	Plk5	protein_coding	29	no ortholog in the table
ENSMUSG00000025467	Prap1	protein_coding	29	no ortholog in the table
ENSMUSG00000069184	Zfp72	protein_coding	29	no ortholog in the table
ENSMUSG00000005983	1700037C18Rik	protein_coding	29	ortholog(s) exist but none is in the other vocabulary
ENSMUSG00000072944	Nup62cl	protein_coding	29	no ortholog in the table
ENSMUSG00000041623	Mtnap1	protein_coding	29	no ortholog in the table
ENSMUSG00000057409	Zfp53	protein_coding	29	no ortholog in the table
ENSMUSG00000074635	3110070M22Rik	lncRNA	29	no ortholog in the table
ENSMUSG00000039670	Oxld1	protein_coding	29	no ortholog in the table
ENSMUSG00000051124	Gimap9	protein_coding	29	no ortholog in the table
ENSMUSG00000026803	Ttf1	protein_coding	29	no ortholog in the table
ENSMUSG00000092600	Gm20442	lncRNA	29	no ortholog in the table
ENSMUSG00000039196	Orm1	protein_coding	29	no ortholog in the table
ENSMUSG00000039568	Ubald1	protein_coding	29	ortholog(s) exist but none is in the other vocabulary
ENSMUSG00000063018	2010204K13Rik	lncRNA	29	no ortholog in the table
ENSMUSG00000057982	Zfp809	protein_coding	29	no ortholog in the table
ENSMUSG00000062545	Tlr12	protein_coding	29	no ortholog in the table
MGI:2441779	A130040M12Rik	lncRNA	29	no Ensembl id (MGI/HGNC accession): not in the ortholog table
ENSMUSG00000036214	Polr1has	protein_coding	29	no ortholog in the table
ENSMUSG00000078444	Gm10941	lncRNA	28	no ortholog in the table
ENSMUSG00000102752	Gm7694	protein_coding	28	no ortholog in the table
ENSMUSG00000031089	Slc6a14	protein_coding	28	no ortholog in the table
ENSMUSG00000117869	Snhg4	lncRNA	28	no ortholog in the table
ENSMUSG00000033688	Inhca	protein_coding	28	no ortholog in the table
ENSMUSG00000097333	Zfp87	protein_coding	28	no ortholog in the table
ENSMUSG00000086862	Gm13546	lncRNA	28	no ortholog in the table
ENSMUSG00000066258	Trim12a	protein_coding	28	no ortholog in the table
ENSMUSG00000097767	Miat	lncRNA	28	no ortholog in the table
ENSMUSG00000097828	6430562O15Rik	lncRNA	28	no ortholog in the table
ENSMUSG00000056025	Clca3a1	protein_coding	28	no ortholog in the table
ENSMUSG00000118671	Eppk1	protein_coding	28	no ortholog in the table
ENSMUSG00000032572	Col6a4	protein_coding	28	no ortholog in the table
ENSMUSG00000055978	Fut2	protein_coding	28	no ortholog in the table
ENSMUSG00000078945	Naip2	protein_coding	28	no ortholog in the table
ENSMUSG00000028495	Rps6	protein_coding	28	no ortholog in the table
ENSMUSG00000042647	Acad12	protein_coding	28	no ortholog in the table
ENSMUSG00000096965	3300005D01Rik	lncRNA	28	no ortholog in the table
ENSMUSG00000032346	Ooep	protein_coding	28	no ortholog in the table
ENSMUSG00000024863	Mbl2	protein_coding	28	ortholog(s) exist but none is in the other vocabulary
ENSMUSG00000060510	Zfp266	protein_coding	28	no ortholog in the table
ENSMUSG00000021327	Zkscan3	protein_coding	28	no ortholog in the table
ENSMUSG00000067577	A430093F15Rik	lncRNA	28	no ortholog in the table
ENSMUSG00000067878	Map7d3	protein_coding	28	no ortholog in the table
ENSMUSG00000108095	Gm44067	lncRNA	28	no ortholog in the table
ENSMUSG00000012405	Rpl15	protein_coding	28	no ortholog in the table
ENSMUSG00000049409	Prokr1	protein_coding	28	no ortholog in the table
ENSMUSG00000023156	Rpp14	protein_coding	28	ortholog(s) exist but none is in the other vocabulary
ENSMUSG00000006720	Zfp184	protein_coding	28	no ortholog in the table
ENSMUSG00000050035	Fhl4	protein_coding	28	no ortholog in the table
ENSMUSG00000051502	Ufsp1	protein_coding	28	no ortholog in the table
ENSMUSG00000050276	Mrgprg	protein_coding	28	ortholog(s) exist but none is in the other vocabulary
ENSMUSG00000078190	Dnm3os	lncRNA	28	no ortholog in the table
MGI:1915324	A930013F10Rik	lncRNA	28	no Ensembl id (MGI/HGNC accession): not in the ortholog table
ENSMUSG00000085184	4933439K11Rik	lncRNA	28	no ortholog in the table
ENSMUSG00000085148	Mir22hg	lncRNA	28	no ortholog in the table
ENSMUSG00000040405	Havcr1	protein_coding	27	no ortholog in the table
ENSMUSG00000040528	Milr1	protein_coding	27	no ortholog in the table
ENSMUSG00000019732	Calr3	protein_coding	27	ortholog(s) exist but none is in the other vocabulary
ENSMUSG00000050623	Catsperz	protein_coding	27	no ortholog in the table
ENSMUSG00000094796	Tcstv4	protein_coding	27	no ortholog in the table
ENSMUSG00000040749	Siah1b	protein_coding	27	no ortholog in the table
ENSMUSG00000074445	Sprr2a3	protein_coding	27	no ortholog in the table
ENSMUSG00000054293	P2ry10b	protein_coding	27	no ortholog in the table
ENSMUSG00000050747	Trim15	protein_coding	27	no ortholog in the table
ENSMUSG00000028001	Fga	protein_coding	27	no ortholog in the table
ENSMUSG00000058638	Zfp110	protein_coding	27	no ortholog in the table
ENSMUSG00000028186	Uox	protein_coding	27	no ortholog in the table
ENSMUSG00000092183	4930515G01Rik	lncRNA	27	no ortholog in the table
ENSMUSG00000028251	Tstd3	protein_coding	27	no ortholog in the table
ENSMUSG00000038572	Bpifb5	protein_coding	27	no ortholog in the table
ENSMUSG00000018907	Alox12e	protein_coding	27	no ortholog in the table
ENSMUSG00000096719	Mrgpra2b	protein_coding	27	no ortholog in the table
ENSMUSG00000031554	Adam5	protein_coding	27	no ortholog in the table
ENSMUSG00000009628	Tex15	protein_coding	27	no ortholog in the table
ENSMUSG00000083012	Fam220a	protein_coding	27	no ortholog in the table
ENSMUSG00000021520	Uqcrb	protein_coding	27	no ortholog in the table
ENSMUSG00000072972	Adam4	protein_coding	27	no ortholog in the table
